,2pt_fga,2pt_fgm,2pt_ft,3pt_fga,3pt_fgm,3pt_ft,and_one,eff,ftm,player,pts,tsa,PLAYER_NAME_x,POTENTIAL_AST,PASSES_MADE,AST,AST_POINTS_CREATED,FRONT_CT_TOUCHES,TIME_OF_POSS,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,OREB,OREB_CHANCES,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,DREB,DREB_CHANCES,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,REB,REB_CHANCES,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,BLK,STL,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT,PLAYER_NAME_y,TEAM_ABBREVIATION,MIN,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,CHARGES_DRAWN,DEFLECTIONS,LOOSE_BALLS_RECOVERED,SCREEN_ASSISTS
0,15,8,12,2,0,0,0,0.43103448275862066,9,Anthony Davis,25,29,Anthony Davis,15.0,76.0,6.0,17.0,57.0,3.4,7.0,3.0,8.0,2.0,9.0,0.0,0.222,15.0,23.0,0.0,0.652,17.0,28.0,0.0,0.607,1.0,2.0,5.0,11.0,0.455,Anthony Davis,NOP,41.0,13.0,2.0,0.0,1.0,1.0,1.0
1,6,3,0,7,2,0,0,0.46153846153846156,0,Milos Teodosic,12,13,Milos Teodosic,13.0,63.0,6.0,14.0,31.0,5.2,0.0,0.0,0.0,1.0,2.0,0.0,0.5,3.0,7.0,1.0,0.5,4.0,9.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,Milos Teodosic,LAC,28.0,1.0,1.0,1.0,2.0,0.0,0.0
2,2,2,4,5,1,0,0,0.36363636363636365,1,Dante Cunningham,8,11,Dante Cunningham,1.0,22.0,0.0,0.0,19.0,0.7,1.0,0.0,2.0,1.0,3.0,0.0,0.33299999999999996,6.0,9.0,1.0,0.75,7.0,11.0,1.0,0.7,0.0,1.0,3.0,3.0,1.0,Dante Cunningham,NOP,28.0,3.0,3.0,0.0,2.0,0.0,0.0
3,7,6,4,4,1,0,0,0.6,3,E'Twaun Moore,18,15,E'Twaun Moore,4.0,20.0,1.0,2.0,28.0,1.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,0.4,2.0,6.0,0.0,0.33299999999999996,0.0,0.0,0.0,1.0,0.0,E'Twaun Moore,NOP,32.0,4.0,5.0,0.0,1.0,0.0,0.0
4,16,6,2,6,4,0,1,0.5625,3,Blake Griffin,27,24,Blake Griffin,10.0,63.0,7.0,15.0,56.0,4.4,4.0,9.0,3.0,0.0,10.0,0.0,0.0,12.0,17.0,0.0,0.706,12.0,24.0,0.0,0.5,0.0,1.0,2.0,2.0,1.0,Blake Griffin,LAC,37.0,3.0,2.0,0.0,2.0,0.0,5.0
5,8,6,0,0,0,0,3,0.75,0,DeAndre Jordan,12,8,DeAndre Jordan,1.0,45.0,0.0,0.0,20.0,1.2,5.0,0.0,9.0,5.0,10.0,0.0,0.5,14.0,16.0,0.0,0.875,19.0,25.0,0.0,0.76,1.0,0.0,4.0,6.0,0.667,DeAndre Jordan,LAC,35.0,7.0,0.0,0.0,0.0,0.0,4.0
6,4,0,0,7,2,0,0,0.2727272727272727,0,Rajon Rondo,6,11,Rajon Rondo,10.0,58.0,3.0,8.0,30.0,4.4,1.0,0.0,0.0,1.0,2.0,0.0,0.5,4.0,4.0,0.0,1.0,5.0,6.0,0.0,0.833,0.0,0.0,0.0,1.0,0.0,Rajon Rondo,NOP,23.0,3.0,2.0,0.0,1.0,0.0,1.0
7,10,6,6,2,0,0,1,0.5277777777777778,7,Tyrone Wallace,19,18,Tyrone Wallace,7.0,45.0,6.0,15.0,34.0,4.2,3.0,1.0,6.0,3.0,5.0,0.0,0.6,3.0,4.0,0.0,0.75,6.0,8.0,0.0,0.75,0.0,1.0,4.0,6.0,0.667,Tyrone Wallace,LAC,32.0,5.0,6.0,0.0,1.0,1.0,0.0
8,11,6,4,4,1,0,1,0.5263157894736842,5,Jrue Holiday,20,19,Jrue Holiday,9.0,70.0,7.0,16.0,41.0,4.8,0.0,2.0,3.0,3.0,5.0,0.0,0.6,6.0,8.0,1.0,0.857,9.0,13.0,1.0,0.75,3.0,1.0,8.0,9.0,0.889,Jrue Holiday,NOP,37.0,10.0,4.0,0.0,2.0,0.0,0.0
9,10,4,0,2,0,0,0,0.3333333333333333,0,Wesley Johnson,8,12,Wesley Johnson,1.0,19.0,1.0,2.0,23.0,0.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.25,1.0,5.0,1.0,0.25,1.0,2.0,0.0,1.0,0.0,Wesley Johnson,LAC,31.0,5.0,3.0,0.0,4.0,0.0,0.0
10,12,7,0,10,2,3,0,0.44,2,Lou Williams,22,25,Lou Williams,8.0,44.0,6.0,15.0,47.0,5.1,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,6.0,0.0,0.5,4.0,7.0,0.0,0.5710000000000001,0.0,2.0,0.0,0.0,0.0,Lou Williams,LAC,35.0,2.0,4.0,0.0,2.0,3.0,1.0
11,0,0,0,0,0,0,0,0.0,0,Latrell Sprewell,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,3,2,0,0,0,0,0.5833333333333334,1,Montrezl Harrell,7,6,Montrezl Harrell,1.0,18.0,1.0,2.0,15.0,0.7,3.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.5,2.0,5.0,0.0,0.4,1.0,0.0,2.0,2.0,1.0,Montrezl Harrell,LAC,13.0,3.0,3.0,0.0,0.0,0.0,2.0
13,3,2,0,0,0,0,0,0.6666666666666666,0,Omer Asik,4,3,Omer Asik,0.0,9.0,0.0,0.0,3.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Omer Asik,NOP,7.0,0.0,0.0,0.0,0.0,0.0,4.0
14,0,0,0,6,1,0,0,0.25,0,Darius Miller,3,6,Darius Miller,4.0,33.0,3.0,6.0,33.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,0.4,2.0,7.0,2.0,0.4,1.0,0.0,3.0,5.0,0.6,Darius Miller,NOP,27.0,2.0,6.0,0.0,0.0,0.0,1.0
15,5,3,0,3,1,0,0,0.5625,0,Ian Clark,9,8,Ian Clark,4.0,18.0,2.0,6.0,22.0,1.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.33299999999999996,1.0,2.0,0.0,0.0,0.0,Ian Clark,NOP,20.0,2.0,0.0,0.0,2.0,1.0,1.0
16,1,1,0,2,1,0,0,0.8333333333333334,0,DeAndre Liggins,5,3,DeAndre Liggins,0.0,5.0,0.0,0.0,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,DeAndre Liggins,NOP,16.0,2.0,3.0,0.0,3.0,1.0,0.0
17,1,1,0,0,0,0,0,1.0,0,Sam Dekker,2,1,Sam Dekker,0.0,10.0,0.0,0.0,6.0,0.3,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Sam Dekker,LAC,11.0,4.0,1.0,0.0,0.0,0.0,0.0
18,1,0,0,1,1,0,0,0.75,0,Sindarius Thornwell,3,2,Sindarius Thornwell,3.0,13.0,2.0,4.0,11.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Sindarius Thornwell,LAC,17.0,4.0,1.0,0.0,0.0,0.0,1.0
19,2,1,0,2,1,0,0,0.625,0,Jameer Nelson,5,4,Jameer Nelson,1.0,17.0,1.0,2.0,10.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jameer Nelson,NOP,8.0,0.0,0.0,0.0,1.0,0.0,0.0
20,0,0,0,0,0,0,0,0.0,0,Trevor Ruffin,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
